,Person,Responsibility,imdbID
48,Sally Field,teleplay,tt0115892
49,Wen-Yong Soo,translation,tt1421375
50,Alan Dillingham,original story,tt4560128
51,Seth Roberts,screenplay,tt4560128
52,Jessica Murphy,story,tt3237268
53,Charles Band,story by,tt5257554
54,Tay Garnett,screenplay,tt0019288
55,Tay Garnett,story,tt0019288
56,John W. Krafft,titles,tt0019288
57,Pavel Finn,screenplay,tt1305027
58,Chiyume Sugawara,story,tt2102417
59,Drew Langer,screenwriter,tt5118940
60,Robbie Fisher,story,tt4211342
61,Jon David,idea,tt1754739
62,Gordon Crier,radio series,tt0032122
63,David Evans,screenplay,tt0032122
64,Geoffrey Orme,comedy dialogue,tt0032122
65,Con West,comedy dialogue,tt0032122
66,Giancarlo Hernandez,story,tt3540670
67,Hiromu Arakawa,manga,tt1776196
68,Yûichi Shinbo,screenplay,tt1776196
69,John Burgmeier,head writer,tt1776196
70,Bonny Clinkenbeard,script writer,tt1776196
71,Saud Jubaer,story,tt2471172
72,Roger Richebé,adaptation,tt0044643
73,Marc-Gilbert Sauvajon,dialogue,tt0044643
74,Eugène Scribe,play,tt0053867
75,L. Frank Baum,novel,tt0024779
76,H.M. Walker,titles,tt0018106
77,Christopher Shinn,based on the play by,tt0980999
78,Alex Lockwood,story,tt3774814
79,Shannon George,story,tt1691131
80,Angela Oberer,creator,tt2011301
81,Eberhard Jost,story,tt0170618
82,Martin Kluger,screenplay,tt0170618
83,Martin Kluger,story,tt0170618
84,Stephen White,teleplay,tt0173666
85,Dennis DeShazer,story,tt0173666
86,Sheryl Leach,story,tt0173666
87,Kathy Parker,story,tt0173666
88,Stephen White,story,tt0173666
89,Tom Gallon,novel,tt0207214
90,Eliot Stannard,scenario,tt0207214
91,Ai Yazawa,comic,tt0440532
92,Steve O'Donnell,head writer,tt1661071
93,Vince Gilligan,creator,tt3398198
94,Justin Lenoir,screenplay,tt0073794
95,Justin Lenoir,dialogue,tt0073794
96,Hal Brav,adaptation,tt0073794
97,Justin Lenoir,adaptation,tt0073794
98,Pierre Grunstein,adaptation,tt0073794
99,Al J. Jennings,story,tt0008042
100,Andrey Muntyan,story,tt2025613
101,Hiroko Kanasugi,screenplay,tt0923779
102,Ebine Yamaji,comic,tt0923779
103,Bryce W. Fillmore,story,tt0240400
104,Craig Clyde,story,tt0240400
105,Monty Mickelson,characters created by,tt0365068
106,Ray Chang,screenplay,tt0426634
107,Peter Pinney,screenplay,tt0089320
108,Derry Moran,short story,tt0089320
109,Alexandre Dumas,novel,tt0007454
110,J.G. Hawks,scenario,tt0007454
111,Donald Freed,play,tt0088074
112,Arnold M. Stone,play,tt0088074
113,Donald Freed,screenplay,tt0088074
114,Arnold M. Stone,screenplay,tt0088074
115,Jean-Noël Picq,short story,tt0076857
116,Veronica Hart,segment,tt0362220
117,Candida Royalle,segment,tt0362220
118,Amleto Palermi,screenplay,tt0011735
119,Andy Gress,story,tt1764340
120,Tony J. Johnson,story,tt1764340
121,Max Margolin,story,tt1764340
122,Madison Riley,story,tt1764340
123,Michael Maltese,story,tt0058239
124,Chuck Jones,story,tt0058239
125,Carlos Tarabal,story,tt2243235
126,Julianna Steen,story,tt1513715
127,Naoyuki Yokota,screenplay,tt0780053
128,Kôji Shiraishi,screenplay,tt0780053
129,Hideshi Hino,comic,tt0780053
130,Luli Murcu,based on,tt0271032
131,Cristian Nemescu,screenplay,tt0271032
132,Scotland Thompson,story,tt1513771
133,Edmond Kelso,story,tt0029289
134,Edmond Kelso,screenplay,tt0029289
135,Fabio Pittorru,story,tt0067487
136,Massimo Felisatti,story,tt0067487
137,Massimo Felisatti,screenplay,tt0067487
138,Fabio Pittorru,screenplay,tt0067487
139,Emilio Miraglia,screenplay,tt0067487
140,Andrey Platonov,novel,tt0122591
141,Lewis Carroll,novel,tt1397138
142,Vincent Bryan,titles,tt0146350
143,Reed Heustis,titles,tt0146350
144,Katherine Hilliker,titles,tt0146350
145,Bernard McConville,story,tt0146350
146,Ákos Tolnay,story,tt0029783
147,Marjorie Deans,story,tt0029783
148,Reginald Long,screenplay,tt0029783
149,Patrick Kirwan,screenplay,tt0029783
150,Templar Saxe,story,tt0005976
151,Léo Malet,novel,tt0074985
152,Mike Leigh,deviser,tt0087286
153,Kenji Kamiyama,story and screenplay,tt1460738
154,Leif Panduro,play,tt0160039
155,Sid Marcus,story,tt0048303
156,Masashi Todayama,screenplay,tt1668003
157,Yasuhiro Koshimizu,screenplay,tt1668003
158,François Pragnere,movie written by,tt1786573
159,Raza Siddiqui,story,tt2362110
160,Sabahattin Ali,story,tt1670252
161,Selim Gunes,adaptation,tt1670252
162,Luis de Diego,screenplay,tt0056259
163,Luis de Diego,story,tt0056259
164,Jesús Franco,screenplay,tt0056259
165,Jesús Franco,story,tt0056259
166,William Benjamin,story,tt0049182
167,Roger Vadim,dialogue,tt0049182
168,Carl Millard King,storyline consultant,tt2214985
169,Kensaku Miyashita,screenplay,tt5214738
170,Claudia Myers,screenplay by,tt1655461
171,Gary Kanew,screenplay by,tt1655461
172,Gary Kanew,story by,tt1655461
173,EJ Caillouet,creator,tt1835919
174,Brandon Johnson,developer,tt1835919
175,Mat Koehler,developer,tt1835919
176,Sidney Smith,cartoon,tt0174275
177,Chris Jones,story,tt1709132
178,Sarah LaPenna,story,tt1709132
179,Matt Onheiber,story,tt1709132
180,Gerald Beaumont,story,tt0017013
181,Paul Schofield,scenario,tt0017013
182,George Marion Jr.,titles,tt0017013
183,Michel Boujut,novel,tt0097893
184,I.A.R. Wylie,novel,tt0016073
185,Fred Karno,sketch,tt2081152
186,Luuk Bouwman,scenario,tt6516552
187,Maurice Sendak,libretto,tt1674225
188,Kenneth Grahame,book,tt0120005
189,John McDermott,story,tt0018887
190,John W. Kellette,scenario,tt0004800
191,Michael McClendon,screenplay,tt2144820
192,Jackie Carpenter,novel,tt2144820
193,Marco Lorenzetti,story,tt3117772
194,Peter B. Kyne,novel,tt0023000
195,Basil Dickey,continuity,tt0023000
196,George H. Plympton,continuity,tt0023000
197,Ella O'Neill,adaptation,tt0023000
198,Roland Gotjé,story,tt1605065
199,Patrick C. Johnson,story,tt5646616
200,Sean Johnson,screenplay,tt5646616
201,Sean Johnson,story,tt5646616
202,Douglas Weiss,screenplay,tt5646616
203,Douglas Weiss,story,tt5646616
204,Ron Nelson,story,tt5863634
205,Teena Booth,teleplay,tt5863634
206,Alan Marc Levy,teleplay,tt5863634
207,María del Carmen Martínez Román,Spanish version,tt0061451
208,Harry Alan Towers,english version,tt0061451
209,Bob Kane,characters,tt3156558
210,Ethan J. Greene,story,tt1998234
211,Ethan J. Greene,written/improvised by,tt1998234
212,Lily Read,written/improvised by,tt1998234
213,Satoru Hiura,manga,tt2013233
214,Mark Swan,story,tt1448505
215,Parker Aultman,story,tt5152582
216,Clint Till,story,tt5152582
217,Raymond L. Schrock,original screen play,tt0031908
218,W.H. Moran,based upon material compiled by: ex-chief of U.S. Secret Service,tt0031908
219,Janine Turner,screenplay,tt0449660
220,Jon Lee Brody,concept,tt1494816
221,Phil Tyler,concept,tt1494816
222,Guy Crawford,screenplay,tt0306496
223,Tamarie Hargrove,screenplay,tt0306496
224,John Scott Mills,screenplay,tt0306496
225,John McCrae,poem,tt0226021
226,James E. McLarty,screenplay,tt0066553
227,George E. Carey,original story,tt0066553
228,Don Henderson,original story,tt0066553
229,Andrzej Kondratiuk,script,tt0085246
230,John Alderman,screenplay,tt0137527
231,Harold Lime,screenplay,tt0137527
232,Glenn Bunn,creator,tt3269580
233,Lee Carter,creator,tt3269580
234,Saxon Cave-Berry,creator,tt3269580
235,Tom Ladds,creator,tt3269580
236,Carl Merz,by,tt0388324
237,John B. Clymer,story,tt0029649
238,Joseph O'Donnell,screenplay,tt0029649
239,Stanley Roberts,screenplay,tt0029649
240,Kim Dyer,radio segment writer,tt2448880
241,Michael Winerip,"New York Times article ""Essays in Search of Happy Endings""",tt1056477
242,Misha Mazzini Griffith,researcher,tt3539478
243,Peter Young,story adapted by,tt0091149
244,Vance Gerry,story adapted by,tt0091149
245,Steve Hulett,story adapted by,tt0091149
246,Ron Clements,story adapted by,tt0091149
247,John Musker,story adapted by,tt0091149
248,Bruce Morris,story adapted by,tt0091149
249,Matthew O'Callaghan,story adapted by,tt0091149
250,Burny Mattinson,story adapted by,tt0091149
251,David Michener,story adapted by,tt0091149
252,Mel Shaw,story adapted by,tt0091149
253,Eve Titus,"based on ""Basil Of Baker Street""",tt0091149
254,Paul Galdone,"based on ""Basil Of Baker Street""",tt0091149
255,Agnes Christine Johnston,scenario,tt0496896
256,Earl Derr Biggers,novel,tt0019684
257,George Middleton,adaptation,tt0019684
258,George Clinton,screenplay,tt6350288
259,Julius J. Epstein,screenplay,tt0050599
260,Luther Davis,play,tt0050599
261,Frederic Wakeman,novel,tt0050599
262,Joseph Hergesheimer,by,tt0015498
263,King Vidor,adapted by,tt0015498
264,Tom Miranda,titles,tt0015498
265,Nicola Manzari,screenplay,tt0045245
266,Nicola Manzari,story,tt0045245
267,Karsten Fullu,screenplay,tt1245891
268,Erlend Loe,books,tt1245891
269,Per Schreiner,screenplay,tt1245891
270,Lou Breslow,screenplay,tt0044390
271,Lou Breslow,story,tt0044390
272,Bill Mauldin,book,tt0044390
273,Don McGuire,screenplay,tt0044390
274,Don McGuire,story,tt0044390
275,Laura Lamson,screenplay,tt0408832
276,Martin Sperr,play,tt0064507
277,Peter Fleischmann,screenplay,tt0064507
278,Dimitris Bogris,play,tt0140315
279,Dimitris Bogris,screenplay,tt0140315
280,Marneen Fields,script writer,tt4689758
281,George Herriman,comic strip,tt0153739
282,Yusuf Khan,story,tt5970378
283,Brody Hawkins,screenplay,tt4846630
284,Matt Lishman,story,tt4846630
285,Garrett Ryan,comic book,tt4846630
286,Garrett Ryan,screenplay,tt4846630
287,Evelyn Campbell,story,tt0208256
288,John Ford,story,tt0208256
289,H. Tipton Steck,scenario,tt0208256
290,Charles Parker,script,tt4949952
291,Barbara Cappi,story,tt0178233
292,Marcello Cesena,story,tt0178233
293,Dario Piana,story,tt0178233
294,Bianca Maria Vaglio,story,tt0178233
295,Jami,story,tt5152462
296,Ali Nazira,story,tt5152462
297,Arvid E. Gillstrom,story,tt0467028
298,Arthur L. Jarrett,story,tt0910895
299,Paul Coppack,story,tt0823685
300,Keir Knowles,dialogue,tt0823685
301,Chris McNulty,additional material,tt0823685
302,Frederick Hazlitt Brennan,screenplay,tt0033011
303,Lou Breslow,additional dialogue,tt0033011
304,Owen Francis,additional dialogue,tt0033011
305,Frank Wead,original story,tt0033011
306,Gennadi Golovin,book,tt0309286
307,Gennadi Golovin,screenplay,tt0309286
308,Ester Krumbachová,screenplay,tt0063371
309,Ester Krumbachová,story,tt0063371
310,Henry James,novel,tt4690052
311,Anirudh Menon,dialogue,tt4345910
312,Anirudh Menon,screenplay,tt4345910
313,Anirudh Menon,story,tt4345910
314,Saurabh Santosh,dialogue,tt4345910
315,Pranay Suryavanshi,dialogue,tt4345910
316,Jean-Claude La Marre,story,tt0462308
317,Kira Madallo Sesay,story,tt0462308
318,Joyce James,original screenplay,tt0153773
319,Carter Stevens,original screenplay,tt0153773
320,Anton Haakman,screenplay,tt0127925
321,Jurriën Rood,screenplay,tt0127925
322,Cherry Duyns,screenplay,tt0127925
323,Pieter Verhoeff,screenplay,tt0127925
324,John W. Krafft,dialogue,tt0030763
325,John W. Krafft,screenplay,tt0030763
326,Gertrude Orr,dialogue,tt0030763
327,Gertrude Orr,screenplay,tt0030763
328,Madeline Woods,novel,tt0030763
329,Louis Weitzenkorn,based on the play by,tt0021873
330,Byron Morgan,screen play,tt0021873
331,Robert Lord,adaptation,tt0021873
332,Terran Gregory,screenplay,tt0433639
333,Dena Seidel,story,tt2780714
334,Benedict Fitzgerald,screenplay,tt0335345
335,Mel Gibson,screenplay,tt0335345
336,Christian Gavin,screenplay,tt2023379
337,I.A.R. Wylie,novel,tt0325493
338,Jack Mayer,screenplay,tt1625020
339,Jack Mayer,story,tt1625020
340,Parthiban Shanmugam,screenplay,tt4581030
341,Duck Dumont,screenplay,tt0127846
342,Lana Lowe,screenplay,tt0127846
343,Erskine Caldwell,based on the novel by,tt0034297
344,Jack Kirkland,stage play,tt0034297
345,Nunnally Johnson,screenplay,tt0034297
346,Dana Sink,story,tt3656282
347,Ben Affleck,screenplay,tt0452623
348,Aaron Stockard,screenplay,tt0452623
349,Dennis Lehane,novel,tt0452623
350,Daniel Kusell,play,tt0025630
351,S.K. Lauren,screenplay,tt0025630
352,Marie Winn,book,tt1473440
353,Will Glickman,play,tt5182820
354,Joseph Stein,play,tt5182820
355,Seth Grahame-Smith,novel,tt2396396
356,Javier Soto,screenplay,tt2396396
357,Frederick Opper,comic strip,tt0472809
358,Alexander Jorgensen,story,tt1664037
359,Harry Baweja,story,tt6246170
360,Jyoti Deshpande,story,tt6246170
361,Joseph Arco,story,tt3327138
362,Joel Ross,story and screenplay,tt2379386
363,Nicky Mascine,original concept,tt1262948
364,Nathan Mayfield,original concept,tt1262948
365,Fiona McGary,race script,tt1262948
366,Adam Zielinski,story,tt1490724
367,Pierre Menard,novel,tt2049383
368,JoAnne Pettry,created by,tt2795754
369,Trent Pettry,created by,tt2795754
370,Darry Logan,head writer,tt0926058
371,Mitali Singh Baghel,original idea,tt5147294
372,Cesare Pavese,book,tt2377700
373,Adriano Bolzoni,screenplay,tt0073871
374,Luigi Latini de Marchi,screenplay,tt0073871
375,George Dewhurst,scenario,tt3677232
376,Arthur T. Horman,screenplay,tt0027564
377,Paul Perez,story,tt0027564
378,Ewart Adamson,story,tt0027564
379,Arthur T. Horman,adaptation,tt0027564
380,Bob Ogle,story,tt0149587
381,Glan Heisch,story,tt0149587
382,Robert Presnell Sr.,screenplay,tt0039463
383,Raoul Whitfield,"story ""Inside Job""",tt0039463
384,Peter Milne,additional dialogue,tt0039463
385,Tod Dockstader,story,tt0056252
386,Rosemary Davies,screenplay,tt0067725
387,Philip Saville,story,tt0067725
388,David Marmor,story,tt2150497
389,Sebastian Barry,based on the novel by,tt3344694
390,Steve H. Mehoff,script,tt0152998
391,Mike Gagerman,story by,tt2758904
392,Andrew Waller,story by,tt2758904
393,Mike Gagerman,screenplay by,tt2758904
394,Andrew Waller,screenplay by,tt2758904
395,Scot Armstrong,screenplay by,tt2758904
396,Frank Roland Conklin,scenario,tt0012282
397,Scott Darling,story,tt0012282
398,Richard Goldstone,screenplay,tt0385731
399,Roy James,screenplay,tt0385731
400,Ellis Parker Butler,original story,tt0385731
401,Paul Armstrong,play,tt0025093
402,Joseph Ernest Peat,story,tt0025093
403,Stuart Anthony,screenplay,tt0025093
404,Henry Johnson,screenplay,tt0025093
405,Lois Zellner,screenplay,tt0181748
406,Lois Zellner,story,tt0181748
407,Hans Werner Kettenbach,novel,tt0096935
408,Laird Koenig,screenplay,tt0096935
409,Jillian Jensen,storyline,tt4451152
410,Mea Reichert,play,tt0440614
411,Olga Printzlau,story,tt1293663
412,Roy Vera Cruz,story,tt0417422
413,Ben Feleo,screenplay,tt0417422
414,Ivan Olbracht,novel,tt0149675
415,Karel Steklý,screenplay,tt0149675
416,Jarred King,creator,tt1450670
417,Will Thomas,creator,tt1450670
418,James Boring,screenplay,tt3901530
419,Nunnally Johnson,story,tt4861962
420,Roland West,stage production,tt0016123
421,Crane Wilbur,stage play,tt0016123
422,Willard Mack,scenario,tt0016123
423,Albert Kenyon,scenario,tt0016123
424,C. Gardner Sullivan,titles by,tt0016123
425,Roland West,adapted by,tt0016123
426,Hugo Stiglitz,story,tt0121301
427,Juan Manuel Soler Palavicini,story,tt0121301
428,Hugo Stiglitz,adaptation,tt0121301
429,Juan Manuel Soler Palavicini,adaptation,tt0121301
430,David Kendall,book,tt0092205
431,Dante Cross,story,tt0193464
432,Michael Winner,screenplay,tt0055463
433,Donald Barthelme,short story,tt0376165
434,Robert Eddy,story,tt0783830
435,Al Giebler,titles,tt0783830
436,Clarence Hennecke,story,tt0783830
437,Harry McCoy,story,tt0783830
438,Omar Walker,story,tt2191926
439,Horace Ové,screenplay,tt0075098
440,Samuel Selvon,screenplay,tt0075098
441,Henley Kim,story,tt4462630
442,Skylah Yeon,story,tt4462630
443,Hans Hellmut Kirst,novel,tt0047789
444,Torsten Quensel,scenario,tt0039922
445,Francis Carco,story,tt0039922
446,Roger Richebé,story,tt0039922
447,Ladislas Fodor,play,tt0035183
448,Gordon Wellesley,adaptation,tt0035183
449,Gordon Wellesley,screenplay,tt0035183
450,Brock Williams,adaptation,tt0035183
451,Brock Williams,screenplay,tt0035183
452,Antonia Ridge,novel,tt0053251
453,Raza Burgee,story,tt1964705
454,Magdy Ahmed Aly,screenplay,tt0204252
455,Emer Gillespie,story,tt1580296
456,Elizabeth Karr,story,tt1580296
457,Joshua Sienkiewicz,story,tt3855864
458,Harry Dittmar,story,tt0013531
459,James Oliver Curwood,novel,tt0055232
460,Dwight Hauser,additional narration material,tt0055232
461,Jay Lind,story,tt0275733
462,Anna-Leena Härkönen,screenplay,tt1528765
463,Henry Lehrman,scenario,tt0405075
464,Youssef El Sebai,novel,tt0310600
465,Abu Seoud El-Ibiary,dialogue,tt0310600
466,Abu Seoud El-Ibiary,screenplay,tt0310600
467,Theodore Dreiser,novel,tt0021607
468,Samuel Hoffenstein,screenplay,tt0021607
469,M.J. Farrell,play,tt4143998
470,John Perry,play,tt4143998
471,Vjekoslav Katusin,story,tt5293310
472,Claudio Lattanzi,story,tt0156706
473,Sheila Goldberg,story,tt0156706
474,Daniele Stroppa,screenplay,tt0156706
475,Sheila Goldberg,dialogue,tt0156706
476,Erik Zimen,screenplay,tt1418179
477,Bo Landin,screenplay,tt1418179
478,Isadore Bernstein,scenario,tt0014893
479,Walter J. Coburn,story,tt0014893
480,Álvaro Rodríguez,additional material,tt1100119
481,René Clair,adaptation,tt0017292
482,Armand Mercier,novel,tt0017292
483,Sanpo Oh'edo,screenplay,tt2474378
484,Toshihide Yamanouchi,screenplay,tt2474378
485,Kristen Danielle,script doctor,tt6489820
486,John Millington Synge,play,tt0395247
487,Anthony Difranco,story,tt2735168
488,Donnie O'Connor,story,tt3341758
489,Tabrez Noorani,story,tt3823392
490,Ritesh Shah,hindi dialogue,tt3823392
491,Lynn Mancinelli,additional dialogue written by,tt2401866
492,Adam Church,contributing writer,tt1424801
493,Jay Cipriani,screenplay,tt1489248
494,Min-young Shim,screenplay,tt0996433
495,Tom Boyle,story,tt2125681
496,Lina Bunte,dialogue,tt1555031
497,Jay Gish,dialogue,tt1555031
498,Sarah Rose Graber,dialogue,tt1555031
499,Matt Hendricks,story,tt1555031
500,Brian Kash,dialogue,tt1555031
501,Sean Keith,dialogue,tt1555031
502,Angie McMahon,creator,tt1555031
503,Kevin Pomeroy,dialogue,tt1555031
504,Cynthia Shur,dialogue,tt1555031
505,Andrew Thorp,dialogue,tt1555031
506,Michael Craig,screenplay,tt0082614
507,Michael Craig,story,tt0082614
508,Lenore J. Coffee,adaptation,tt0015290
509,Ethel M. Dell,novel,tt0015290
510,Bernard McConville,adaptation,tt0015290
511,Scott Hetzel,story,tt1661902
512,Bradford Ropes,novel,tt0024609
513,Bradford Ropes,screenplay,tt0024609
514,Alexandra Gil,story,tt3112428
515,Desirée,original screenplay,tt2266703
516,Lorenzo d'Amico de Carvalho,cowriter,tt5757546
517,Yôji Yamada,screenplay,tt4065842
518,Emiko Hiramatsu,screenplay,tt4065842
519,Mike Thomas Smith,screenplay,tt1297819
520,Geoffrey Enthoven,screenplay,tt0297876
521,M.L. Martin,story,tt5150412
522,João Botelho,screenplay,tt1077102
523,Miguel Torga,excerpts,tt1077102
524,Sidney M. Goldin,scenario,tt0005607
525,Michael Legge,screenplay,tt1645988
526,Peter B. Kyne,screenplay,tt0012983
527,Peter B. Kyne,story,tt0012983
528,Peter B. Kyne,titles,tt0012983
529,Sanjay,story,tt1496816
530,Anthony Thurman,story,tt1928283
531,Cressida Cowell,"based upon the ""How to Train Your Dragon"" book series by",tt4191768
532,William Bayer,story,tt0100204
533,Monte Stettin,teleplay,tt0100204
534,George Klembith,screenplay,tt3919238
535,Tammy Klembith,screenplay,tt3919238
536,Thorsten Felden,screenplay,tt1950211
537,Thorsten Felden,story,tt1950211
538,Jan Meininghaus,story,tt1950211
539,Jim Hendrik Meininghaus,story,tt1950211
540,Thea von Harbou,novel,tt0019901
541,Fritz Lang,screenplay,tt0019901
542,Hermann Oberth,scientific material,tt0019901
543,Thea von Harbou,manuscript,tt0019901
544,Aldous Huxley,book,tt0145600
545,Dan Mazur,teleplay,tt0145600
546,David Tausik,teleplay,tt0145600
547,Harold Buchman,screenplay,tt0031732
548,Harold Buchman,story,tt0031732
549,Fernando Arrabal,by,tt0066530
550,Fernando Arrabal,novel,tt0066530
551,Claudine Lagrive,scenario writer,tt0066530
552,Kotarô Ohgimi,based upon the stage play by,tt1697978
553,Naoya Ohshiro,screenplay,tt1697978
554,Cherie Bennett,book,tt7241550
555,Ella Gabriel,collaborating writer,tt7241550
556,Jeff Gottesfeld,book,tt7241550
557,Matthew Weiss,screenplay,tt7241550
558,Donn Pearce,screenplay,tt0061512
559,Frank Pierson,screenplay,tt0061512
560,Donn Pearce,novel,tt0061512
561,Lan Ke,novel,tt0087433
562,Ziliang Zhang,screenplay,tt0087433
563,Grace Paley,stories,tt0085494
564,Mike Milo,created & written by,tt0950505
565,Atul N. Rao,created & written by,tt0950505
566,Scott Bosch,screenplay,tt2280362
567,Jason Taylor,screenplay,tt2280362
568,Gabriel Desplanque,story,tt5136418
569,Luis Spota,novel,tt0077287
570,Paulo Coelho,novel,tt1391583
571,Aaron J. March,screenplay,tt1391583
572,Parris Reaves,written for the screen by,tt1391583
573,Lynn Dougherty,adaptation,tt1391583
574,Sylvia Fodor,script,tt1391583
575,Robert Ellis,screen play,tt0031148
576,Helen Logan,screen play,tt0031148
577,Gina Kaus,based on a play by,tt0031148
578,Ladislas Fodor,based on a play by,tt0031148
579,Earl Derr Biggers,"based on: the character ""Charlie Chan"" created by",tt0031148
580,Adam Bertocci,additional writer,tt5985310
581,Harold Shumate,screenplay,tt0016189
582,Harold Shumate,story,tt0016189
583,Jeff Chiba Stearns,screenplay,tt1219801
584,Dan Bush,script collaborator,tt3312180
585,Ayn Rand,novel,tt0035130
586,Corrado Alvaro,adaptation,tt0035130
587,Orio Vergani,adaptation,tt0035130
588,Anton Giulio Majano,screenplay,tt0035130
589,Kaori Oda,story,tt1811300
590,Rodolphe-Maurice Arlaud,adaptation,tt0055854
591,René Cortade,adaptation,tt0055854
592,Alain Decaux,adaptation,tt0055854
593,Stellio Lorenzi,adaptation,tt0055854
594,André Maurois,novel,tt0055854
595,Michèle O'Glor,adaptation,tt0055854
596,Ferran Torrent,novel,tt0095717
597,Ricky DeBats,screenplay,tt2520610
598,Andrew List,story,tt2520610
599,John Carpenter,characters,tt1894479
600,Kim Henkel,characters,tt1894479
601,Tobe Hooper,characters,tt1894479
602,Ron Kurz,characters,tt1894479
603,Victor Miller,characters,tt1894479
604,David J. Schow,characters,tt1894479
605,Frances Langford,article,tt0043942
606,Bob Brown,story,tt0415739
607,Richard Cassvan,story,tt2133292
608,Alexandra Punales,story,tt2133292
609,Alex Lane,story,tt3118694
610,Ted Welch,story,tt1993346
611,Nick Maltby,story,tt1466428
612,Andrew Montgomery,story,tt1466428
613,Erika Yeomans,screenplay,tt0814272
614,Jean-Marie Poiré,collaborating writer,tt0076684
615,John Kaylin,creator,tt3462498
616,John Kaylin,screenplay,tt3462498
617,Massimiliano Capriccioli,story,tt0063556
618,Roberto Fizz,screenplay,tt0063556
619,Roberto Fizz,story,tt0063556
620,Isadore Klein,story,tt0147964
621,Luis Felipe Moreno Barragán,story,tt5230024
622,Kikumi Yamagishi,screenplay,tt2916416
623,Jack Kirby,comic book by,tt4154796
624,Christopher Markus,screenplay,tt4154796
625,Stephen McFeely,screenplay,tt4154796
626,Jim Starlin,comic book,tt4154796
627,Ian Rodgers,story,tt4677550
628,Hettie Grey Baker,scenario,tt0003283
629,Herbert Trench,poem,tt0003283
630,Trevor Markwart,story,tt0869152
631,Trevor Markwart,screenplay,tt0869152
632,Carl Bessai,screenplay,tt0869152
633,Doug Taylor,screenplay,tt0869152
634,Denny Dias,story,tt1645857
635,John W. Dunn,story,tt0170388
636,Sergio Martino,story,tt0099297
637,Hans Jaray,translation,tt0336077
638,Jack Popplewell,play,tt0336077
639,Joseph Maurer,teleplay,tt0339343
640,Debra Frank,teleplay,tt0339343
641,Steve L. Hayes,teleplay,tt0339343
642,Joseph Maurer,story,tt0339343
643,Leo Luz,screenplay collaborator,tt4491640
644,Gustavo Cerbasi,based on the book,tt4491640
645,Harley Granville-Barker,english version,tt4313554
646,Helen Granville-Barker,english version,tt4313554
647,Gregorio Martínez Sierra,play,tt4313554
648,Edward Sheldon,play,tt0161451
649,Hsing-kuo Hsieh,screenplay,tt0093228
650,Noel Estillore,story,tt3909220
651,Zachary Labin,head writer,tt5488396
652,Jan Fischer,story,tt0093437
653,James Jeremias,story,tt0093437
654,Jan Fischer,screenplay,tt0093437
655,James Jeremias,screenplay,tt0093437
656,Jeffrey Boam,screenplay,tt0093437
657,Rony Patel,story,tt2308593
658,Yukio Mishima,novel,tt0468753
659,Chihiro Itô,screenplay,tt0468753
660,Shinsuke Sato,screenplay,tt0468753
661,Douglas Foster,screenplay,tt0031982
662,Sheldon Lettich,characters by,tt5843838
663,Boaz Yakin,characters by,tt5843838
664,Max Afford,play,tt3589886
665,Austin Parker,screen play,tt0024144
666,Sheridan Gibney,screen play,tt0024144
667,Joseph Santley,from the story by,tt0024144
668,Vincent Poymiro,contributing writer,tt3169710
669,Alexandre Dumas,novel,tt0040876
