Age in years,Gender,Race,Home location,Cockroach,Sushi,Rocky Mountain oyster,Spam,Cow urine,Jalapeño,Alligator meat,Paper,Hawaiian pizza,Pig's trotters,Durian,Monkey brains,Frog legs,Caviar,Fugu,Balut,Lutefisk,Century egg,Salo,Locusts
17,Female,Asian,North America/Central America,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
29,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
21,Male,White,Europe,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True
23,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
29,Female,Asian,Australia,False,True,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False,False
23,Female,White,North America/Central America,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
22,Male,White,Europe,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
19,Female,White,South America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
17,Female,White,Europe,False,False,False,,False,True,False,True,True,False,True,False,,False,False,False,False,False,False,False
18,Female,White,Europe,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
30,Female,White,North America/Central America,True,True,False,True,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False
30,Male,White,North America/Central America,False,True,False,True,False,True,False,True,False,,False,False,False,False,False,False,False,,False,False
25,Male,White,Europe,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False
26,Female,White,Europe,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
21,Female,Two or More Races,North America/Central America,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
17,Female,White,North America/Central America,True,True,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False
20,Female,White,Europe,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Female,White,North America/Central America,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66,Female,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,False,False,,False,False
19,Male,White,North America/Central America,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False
44,Female,White,North America/Central America,False,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False
31,Other,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False
31,Female,White,Europe,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
22,Female,White,North America/Central America,False,True,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False
20,Female,,North America/Central America,False,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
41,Female,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
41,Female,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
15,Male,White,North America/Central America,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False
25,Female,White,North America/Central America,False,True,False,True,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True
22,Female,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
36,Female,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
30,Male,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
19,Male,White,Europe,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
21,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,False,False,,,False,False,False,False
44,Female,White,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False
27,Female,White,Europe,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
18,Female,White,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
14,Male,White,North America/Central America,True,True,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True
21,Male,Two or More Races,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False
22,Female,White,Europe,False,True,False,True,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False
28,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
20,Male,White,Europe,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
23,Other,Two or More Races,North America/Central America,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False
22,Male,White,North America/Central America,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,True,True,True
28,Female,,,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
25,Female,White,Europe,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False
21,Female,White,Europe,False,True,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False
25,Male,Asian,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
34,Female,White,Europe,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
16,Male,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
45,Male,White,North America/Central America,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
40,Female,White,North America/Central America,True,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False
21,Female,Two or More Races,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
25,Male,Two or More Races,North America/Central America,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,True,False
18,Male,Two or More Races,South America,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
29,Female,White,North America/Central America,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
24,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
18,Male,White,Europe,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
17,Male,White,Europe,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True
44,Male,White,North America/Central America,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
25,Female,White,Australia,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,Female,White,,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
25,Female,White,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
20,Male,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
19,Female,White,Australia,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
19,Male,White,Europe,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
19,Female,White,North America/Central America,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False
28,Female,White,North America/Central America,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False
19,Male,White,North America/Central America,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
29,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
28,Female,White,North America/Central America,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
27,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
28,Female,White,Europe,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
22,Male,White,Europe,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True
22,Male,White,Europe,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True
27,Male,White,North America/Central America,False,True,False,True,False,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False
35,Male,White,North America/Central America,False,True,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False
40,Male,,Europe,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
18,Female,Two or More Races,South America,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False
35,Male,White,Europe,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
23,Male,Black or African American,North America/Central America,False,True,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False
23,Female,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
59,Female,White,North America/Central America,False,True,False,True,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False
41,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
20,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
35,Female,White,Europe,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
31,Female,White,North America/Central America,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
39,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False
17,Other,White,North America/Central America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Female,White,Europe,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16,Female,,South America,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
21,Female,White,Europe,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
13,Other,White,North America/Central America,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
16,Female,,South America,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
23,Female,White,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
31,Female,White,North America/Central America,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Female,White,South America,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Female,White,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
31,Female,White,North America/Central America,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
23,Female,White,North America/Central America,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
19,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
43,Male,,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
23,Female,Asian,North America/Central America,False,True,False,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False
31,Female,White,North America/Central America,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
43,Female,White,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
26,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False
23,Male,Asian,Australia,False,True,,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
20,Male,Asian,North America/Central America,True,True,False,True,False,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False
28,Male,White,North America/Central America,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
34,Female,White,North America/Central America,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
24,Female,White,North America/Central America,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
33,Male,Two or More Races,North America/Central America,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,True,True,True
53,Male,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
26,Female,White,North America/Central America,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
19,Female,White,North America/Central America,False,True,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False
54,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,True,False,False,True,True,False,False,True,False,False,False
24,Male,White,North America/Central America,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,False,False
21,Female,White,,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False
15,Male,Asian,North America/Central America,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Female,Two or More Races,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
21,Other,White,Australia,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False
47,Female,White,North America/Central America,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
29,Female,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
15,Female,Asian,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
35,Male,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
27,Female,Asian,North America/Central America,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False
27,Male,White,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
18,Female,Asian,Asia,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
21,Male,Asian,North America/Central America,False,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,True,False,False
27,Female,White,North America/Central America,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
38,Male,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
27,Female,White,Australia,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
24,Male,Two or More Races,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
32,Female,White,Australia,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
27,Female,White,North America/Central America,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
29,Female,White,North America/Central America,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
28,Male,Asian,North America/Central America,False,True,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,True,False,False
31,Female,Two or More Races,North America/Central America,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
29,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False
24,Male,Asian,Asia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Female,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True
21,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
46,Female,White,North America/Central America,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
26,Female,White,North America/Central America,False,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False
18,Female,Asian,North America/Central America,False,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,True,False,False
42,Male,White,North America/Central America,False,True,True,True,False,True,False,False,True,True,True,False,True,True,False,True,False,True,True,False
20,Female,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
22,Male,White,Europe,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True
20,Female,White,North America/Central America,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
26,Female,White,North America/Central America,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
29,Female,White,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
30,Male,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
20,Female,American Indian or Alaska Native,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False
21,,,,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
33,Male,White,North America/Central America,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False
42,Male,White,North America/Central America,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False
30,Female,Two or More Races,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False
41,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False
16,Male,White,South America,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
30,Male,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,True,False,True,True,False,False,False,True,False,False
28,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
30,Male,White,North America/Central America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,,Asian,,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
33,Female,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False
21,Female,White,,False,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
17,Male,White,North America/Central America,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
19,Male,White,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
24,Male,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
13,Male,Two or More Races,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
30,Female,White,North America/Central America,False,True,True,True,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False
26,Female,White,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
32,Female,Two or More Races,North America/Central America,False,True,False,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False
26,,White,North America/Central America,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False
23,Female,Asian,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
26,Female,White,North America/Central America,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
18,Other,White,North America/Central America,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
21,Male,White,North America/Central America,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
24,Male,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
41,Female,White,North America/Central America,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False
25,Male,White,North America/Central America,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
30,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
31,Female,White,North America/Central America,False,True,True,True,False,True,False,True,True,False,True,False,True,True,False,False,False,True,False,False
38,Female,White,Australia,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
20,Male,Asian,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
19,Male,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
20,Male,White,Europe,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
21,Male,Asian,North America/Central America,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Male,Asian,North America/Central America,False,True,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False
17,Other,White,North America/Central America,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
31,Female,White,North America/Central America,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
19,Male,White,North America/Central America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,,,,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False
22,Female,White,North America/Central America,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
31,Female,White,North America/Central America,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
21,Female,White,South America,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
43,Female,White,North America/Central America,True,True,False,False,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False
15,Male,White,Australia,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36,Male,White,North America/Central America,False,True,False,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False
53,Female,White,North America/Central America,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
19,Female,White,North America/Central America,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
41,Female,White,North America/Central America,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False
17,,,,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
28,Female,,North America/Central America,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
20,Male,White,North America/Central America,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
38,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False
24,Female,Two or More Races,South America,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
22,Female,White,Europe,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
49,Female,White,North America/Central America,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
21,Male,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
26,Male,White,North America/Central America,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
23,Male,White,North America/Central America,False,True,True,True,False,True,True,True,True,False,True,False,True,False,False,False,True,False,False,False
27,Female,Two or More Races,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
